[2025-02-03 17:49:00,152 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:00,153 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:00,153 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:00,153 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:00,154 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,155 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:00,156 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:00,156 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:00,156 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:00,157 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,157 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,158 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,158 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,158 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:00,212 web_scraper.py->download_image():434]INFO: Downloaded: 15_1732263432895.png
[2025-02-03 17:49:00,266 web_scraper.py->download_image():434]INFO: Downloaded: 15_1732263433124.png
[2025-02-03 17:49:00,324 web_scraper.py->download_image():434]INFO: Downloaded: 15_1732263433266.png
[2025-02-03 17:49:00,373 web_scraper.py->download_image():434]INFO: Downloaded: 15_1732263433871.png
[2025-02-03 17:49:00,374 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:00,375 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:00,376 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:00,376 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:00,377 web_scraper.py->is_valid_image():394]INFO: Image is Valid
